INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182067450,361,Robbery,ROBBERY - OTHER,C11,370,,2018-08-23 09:39:00,2018,8,Thursday,9,Part One,WILLIAM T MORRISSEY BLVD,42.29623685,-71.04853645,"(42.29623685, -71.04853645)"
I182067425,301,Robbery,ROBBERY - STREET,C11,394,,2018-08-19 21:30:00,2018,8,Sunday,21,Part One,BUSHNELL ST,42.28557915,-71.06358649,"(42.28557915, -71.06358649)"
I182067328,301,Robbery,ROBBERY - STREET,D4,138,,2018-08-22 20:21:00,2018,8,Wednesday,20,Part One,EXETER ST,42.35030915,-71.07988963,"(42.35030915, -71.07988963)"
I182067312,301,Robbery,ROBBERY - STREET,B3,476,,2018-08-05 17:00:00,2018,8,Sunday,17,Part One,CUMMINS HWY,42.267517,-71.094124,"(42.26751700, -71.09412400)"
I182067087,301,Robbery,ROBBERY - STREET,B2,320,,2018-08-22 01:29:00,2018,8,Wednesday,1,Part One,CRAWFORD ST,42.31167532,-71.08586299,"(42.31167532, -71.08586299)"
I182066917,361,Robbery,ROBBERY - OTHER,A1,105,,2018-08-21 13:15:00,2018,8,Tuesday,13,Part One,SUMMER ST,42.35521625,-71.06012863,"(42.35521625, -71.06012863)"
I182066765,301,Robbery,ROBBERY - STREET,E13,302,,2018-08-21 00:45:00,2018,8,Tuesday,0,Part One,CENTRE ST,42.32270922,-71.09932317,"(42.32270922, -71.09932317)"
I182066426,301,Robbery,ROBBERY - STREET,B3,454,,2018-08-19 23:02:00,2018,8,Sunday,23,Part One,HARVARD AVE,42.3001358,-71.07563344,"(42.30013580, -71.07563344)"
I182066408,311,Robbery,ROBBERY - COMMERCIAL,C11,817,,2018-08-19 22:05:00,2018,8,Sunday,22,Part One,TALBOT AVE,42.28863812,-71.06631579,"(42.28863812, -71.06631579)"
I182066362,301,Robbery,ROBBERY - STREET,E5,726,,2018-08-19 18:45:00,2018,8,Sunday,18,Part One,SPRING ST,42.27757964,-71.16274799,"(42.27757964, -71.16274799)"
I182066152,301,Robbery,ROBBERY - STREET,E13,572,,2018-08-19 00:11:00,2018,8,Sunday,0,Part One,DIXWELL ST,42.31433402,-71.09791405,"(42.31433402, -71.09791405)"
I182065892,301,Robbery,ROBBERY - STREET,B2,615,,2018-08-18 01:27:00,2018,8,Saturday,1,Part One,FENWAY,42.33932485,-71.09937561,"(42.33932485, -71.09937561)"
I182065799,301,Robbery,ROBBERY - STREET,B3,469,,2018-08-17 19:09:00,2018,8,Friday,19,Part One,FOTTLER RD,42.27863649,-71.09541135,"(42.27863649, -71.09541135)"
I182065797,301,Robbery,ROBBERY - STREET,E5,563,,2018-08-17 19:02:35,2018,8,Friday,19,Part One,FAWNDALE RD,42.29011783,-71.12187904,"(42.29011783, -71.12187904)"
I182065791,301,Robbery,ROBBERY - STREET,D14,795,,2018-08-17 13:30:00,2018,8,Friday,13,Part One,ARMINGTON ST,42.3524587,-71.13762608,"(42.35245870, -71.13762608)"
I182065311,301,Robbery,ROBBERY - STREET,D4,143,,2018-08-15 23:00:00,2018,8,Wednesday,23,Part One,EXETER ST,42.34909822,-71.07929618,"(42.34909822, -71.07929618)"
I182065197,301,Robbery,ROBBERY - STREET,A1,98,,2018-08-15 00:01:00,2018,8,Wednesday,0,Part One,WATER ST,42.35759166,-71.05772502,"(42.35759166, -71.05772502)"
I182065153,311,Robbery,ROBBERY - COMMERCIAL,E13,582,,2018-08-15 16:00:00,2018,8,Wednesday,16,Part One,CENTRE ST,42.32277007,-71.10445458,"(42.32277007, -71.10445458)"
I182065032,301,Robbery,ROBBERY - STREET,D4,626,,2018-06-14 00:15:00,2018,6,Thursday,0,Part One,JERSEY ST,42.34369048,-71.09739817,"(42.34369048, -71.09739817)"
I182064944,301,Robbery,ROBBERY - STREET,B3,427,,2018-08-14 23:47:00,2018,8,Tuesday,23,Part One,BABSON ST,42.27543421,-71.09234389,"(42.27543421, -71.09234389)"
I182064888,311,Robbery,ROBBERY - COMMERCIAL,D4,137,,2018-08-14 18:58:00,2018,8,Tuesday,18,Part One,NEWBURY ST,42.34999733,-71.0810344,"(42.34999733, -71.08103440)"
I182064868,361,Robbery,ROBBERY - OTHER,A1,111,,2018-08-14 17:53:00,2018,8,Tuesday,17,Part One,AVERY ST,42.35327561,-71.06345772,"(42.35327561, -71.06345772)"
I182064652,301,Robbery,ROBBERY - STREET,B3,472,,2018-08-14 03:01:00,2018,8,Tuesday,3,Part One,MESSINGER ST,42.27185661,-71.09679025,"(42.27185661, -71.09679025)"
I182064334,311,Robbery,ROBBERY - COMMERCIAL,C11,336,,2018-08-12 22:58:00,2018,8,Sunday,22,Part One,BOWDOIN ST,42.30536545,-71.06812632,"(42.30536545, -71.06812632)"
I182064320,301,Robbery,ROBBERY - STREET,D4,156,,2018-08-12 21:34:00,2018,8,Sunday,21,Part One,TREMONT ST,42.34010961,-71.0788244,"(42.34010961, -71.07882440)"
I182064205,301,Robbery,ROBBERY - STREET,A1,111,,2018-08-12 14:03:00,2018,8,Sunday,14,Part One,WINTER ST,42.35602373,-71.06177615,"(42.35602373, -71.06177615)"
I182064093,311,Robbery,ROBBERY - COMMERCIAL,C11,353,,2018-08-12 03:35:00,2018,8,Sunday,3,Part One,WILLIAM T MORRISSEY BLVD,42.30027016,-71.04967147,"(42.30027016, -71.04967147)"
I182064035,301,Robbery,ROBBERY - STREET,C11,351,,2018-08-11 21:14:00,2018,8,Saturday,21,Part One,DORCHESTER AVE,42.30114533,-71.05991447,"(42.30114533, -71.05991447)"
I182063829,361,Robbery,ROBBERY - OTHER,A1,118,,2018-08-11 04:59:00,2018,8,Saturday,4,Part One,CHARLES ST S,42.35094628,-71.06685604,"(42.35094628, -71.06685604)"
I182063826,301,Robbery,ROBBERY - STREET,A1,111,,2018-08-11 04:37:00,2018,8,Saturday,4,Part One,AVERY ST,42.3532601,-71.06283216,"(42.35326010, -71.06283216)"
I182063586,301,Robbery,ROBBERY - STREET,C11,345,,2018-08-03 21:00:00,2018,8,Friday,21,Part One,DITSON ST,42.30177509,-71.06430565,"(42.30177509, -71.06430565)"
I182063456,301,Robbery,ROBBERY - STREET,B3,435,,2018-08-09 23:00:00,2018,8,Thursday,23,Part One,PEACEVALE RD,42.28716674,-71.07633479,"(42.28716674, -71.07633479)"
I182063430,381,Robbery,ROBBERY - CAR JACKING,E13,946,,2018-08-09 22:41:00,2018,8,Thursday,22,Part One,METCALF CT,42.30536762,-71.115715,"(42.30536762, -71.11571500)"
